Gene,T1,T2,T3,T4,T5
SPIRE1,-0.042349931,-0.042349931,-0.00343994,-0.042349931,-0.042349931
SPIRE2,0,0,0,0.024144956,0
SPN,0.551134181,-0.469309091,-0.448393736,-0.451179852,-0.428343687
SPNS1,0.129945364,0.550003745,0.114097558,0.083044829,0.083796351
SPNS2,0.138728063,0,0,0,0
SPNS3,0.777963176,-0.125095144,-0.207516786,-0.214023375,-0.261223646
SPOCK1,0,0,0,0,0
SPOCK2,-0.175531811,-0.175531811,0.820962872,0.628999544,0.046390521
SPOCK3,-0.150907141,-0.211950668,-0.211950668,-0.190058328,-0.211950668
SPON1,0.061043527,0,0.04153182,0.020843015,0.02587232
SPON2,0.200891313,0.162540462,0,0,0.103685214
SPOP,-0.008590965,-0.253147404,-0.022099665,-0.124637297,-0.178112133
SPOPL,-0.055721665,0.337258837,0.023957636,0.216795327,-0.1405362
SPP1,0,0,0,0,0
SPPL2A,0.061059462,0.144892847,0.415444313,0.340950844,-0.080315827
SPPL2B,-0.095194832,0.136306894,0.115562929,-0.216347327,-0.228511128
SPPL3,0.099187592,-0.123914726,-0.016958083,0.031079637,-0.048426401
SPR,-0.099838989,-0.123382416,-0.123382416,-0.123382416,-0.077545081
SPRED1,0,0,0,0,0.016728943
SPRED2,0.003883244,0.15923738,-0.054726647,-0.054726647,-0.003809129
SPRED3,0,0,0,0,0.007387617
SPRR2F,0,0,0,0,0
SPRTN,-0.077783304,-0.199880618,0.066389594,0.114835923,-0.250901181
SPRY1,0.015615244,0.108851143,-0.224859771,-0.310649707,-0.301506195
SPRY2,0.099213095,0.525944183,-0.03003627,-0.03003627,-0.03003627
SPRY3,0,0,0,0,0
SPRYD3,0.037933706,0,0,0.016200325,0.106096834
SPRYD4,0.026891746,0,0.101483642,0,0.010940965
SPRYD7,0.038830071,-0.029191623,-0.130643287,-0.093490286,-0.098325458
SPSB1,0,0,0.034884795,0,0.05831828
SPSB2,0,0,0.062592835,0.046736895,0.032608793
SPSB3,0.255058427,-0.009600547,0.195788995,0.022931694,-0.18721434
SPTA1,0,0,0,0,0
SPTAN1,0.119598318,0.458098217,0.181076842,0.222535928,0.04578012
SPTB,0,0,0,0,0
SPTBN1,-0.104772324,0.168621562,-0.296410091,-0.237998377,-0.154655645
SPTBN2,0,0,0,0,0.014702362
SPTBN4,0,0,0,0.018841097,0
SPTBN5,0,0,0,0,0
SPTLC1,0.190642251,0.335811996,0.204698996,0.194850944,0.069192356
